"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameProductsRadius0To10_i","AnzahlSameProductsRadius10To30_i","AnzahlSameProductsRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 3 16 zoll blau top Kinder Fahrrad + ständer Kettenschutz klingel","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,29.06.2024, 16:08 Uhr","€ 340","Privatperson","Kettenschaltung,Trommelbremse,bis 35 cm,bis 16 Zoll,Blau,Neuwertig,Selbstabholung, Versand","Woom 3 16 zoll blau top Kinder Fahrrad","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-16-zoll-blau-top-kinder-fahrrad-staender-kettenschutz-klingel-1031552863/",418,340,1210,"1210 Wien",3,"Blau","2024-06-29 16:08:00",1719677280,0,"as good as new",1,0,1210,48.2678639,16.3845716,58,55,18,0,5.82894561761021,0.126050420168067,"Blau","as good as new"
"Woom 4 grün","4161 Mühlwald","Zuletzt geändert:,30.06.2024, 11:49 Uhr","€ 420","Privatperson","Grün,Gebraucht,Selbstabholung","Verkaufen Woom 4 in grün. Größe 20 Zoll. Mit Glocke und Ständer. 1 Jahr alt. Sehr guter Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-gruen-798263048/",422,420,4161,"4161 Mühlwald",4,"Grün","2024-06-30 11:49:00",1719748140,0,"used",0,0,4161,48.6821603356167,13.9094145572413,0,2,11,0,6.04025471127741,4,"Grün","used"
"Woom 2 gelb","1100 Wien, 10. Bezirk, Favoriten","Zuletzt geändert:,29.06.2024, 12:19 Uhr","€ 360","Privatperson","bis 16 Zoll,Gelb,Neuwertig,Selbstabholung, Versand","Wie neu, ein paar Mal gefahren. Erste Besitzer mit Rechnung.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-gelb-1160011871/",423,360,1100,"1100 Wien",2,"Gelb","2024-06-29 12:19:00",1719663540,0,"as good as new",1,0,1100,48.1760137,16.3687822,85,42,18,0,5.88610403145016,0.0980392156862745,"Gelb","as good as new"
"WOOM 4 Kinderfahrrad inkl. Seitenständer","1070 Wien, 07. Bezirk, Neubau","Zuletzt geändert:,29.06.2024, 13:20 Uhr","€ 435","Privatperson","Grün,Gebraucht,Selbstabholung","Woom 4 Kinderfahrrad in Grün mit Seitenständer.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-inkl-seitenstaender-1572148292/",424,435,1070,"1070 Wien",4,"Grün","2024-06-29 13:20:00",1719667200,0,"used",0,0,1070,48.2035315,16.3558844,108,25,17,0,6.07534603108868,0.0839160839160839,"Grün","used"
"Woom 3 mit ständer, Beleuchtung","1110 Wien, 11. Bezirk, Simmering","Zuletzt geändert:,29.06.2024, 09:59 Uhr","€ 280","Privatperson","Kettenschaltung,Trommelbremse,38 cm,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Am beste Zustand. Lond sich sehr.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-mit-staender-beleuchtung-1274158442/",425,280,1110,"1110 Wien",3,"Rot","2024-06-29 09:59:00",1719655140,0,"used",0,0,1110,48.1696740010306,16.4252374069253,70,55,22,0,5.63478960316925,0.108695652173913,"Rot","used"
"Woom 3","4714 Meggenhofen","Zuletzt geändert:,29.06.2024, 07:29 Uhr","€ 300","Privatperson","Grün,Gebraucht,Selbstabholung","Guter Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2070150944/",443,300,4714,"4714 Meggenhofen",3,"Grün","2024-06-29 07:29:00",1719646140,0,"used",0,0,4714,48.1787124,13.8203335731158,0,7,20,0,5.7037824746562,1.76470588235294,"Grün","used"
"(reserviert) Kinderfahrrad - Woom 2 - lila","3532 Peygarten-Ottenstein","Zuletzt geändert:,29.06.2024, 07:14 Uhr","€ 300","Privatperson","Violett,Gebraucht,Selbstabholung","Verkaufe ein Woom 2 in der Farbe lila. (14 Zoll)","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-2-lila-1310024166/",444,300,3532,"3532 Peygarten-Ottenstein",2,"Violett","2024-06-29 07:14:00",1719645240,0,"used",0,0,3532,48.5672731253669,15.3366316384124,0,5,8,0,5.7037824746562,3.33333333333333,"Violett","used"
"Woom 3","1020 Wien, 02. Bezirk, Leopoldstadt","Zuletzt geändert:,28.06.2024, 23:51 Uhr","€ 360","Privatperson","Blau,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1954649344/",445,360,1020,"1020 Wien",3,"Blau","2024-06-28 23:51:00",1719618660,0,"used",1,0,1020,48.20642055,16.4327785094205,78,45,18,0,5.88610403145016,0.104166666666667,"Blau","used"
"Woom 3 rot","1230 Wien, 23. Bezirk, Liesing","Zuletzt geändert:,28.06.2024, 11:40 Uhr","€ 345","Privatperson","Rot,Gebraucht,Selbstabholung","Rot, mit Ständer und Glocke, guter Zustand - normale Gebrauchsspuren","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-1881789505/",460,345,1230,"1230 Wien",3,"Rot","2024-06-28 11:40:00",1719574800,0,"used",0,0,1230,48.1393523,16.3048854,43,79,19,0,5.84354441703136,0.137931034482759,"Rot","used"
"WOOM 4","8793 Trofaiach","Zuletzt geändert:,27.06.2024, 19:55 Uhr","€ 450","Privatperson","Blau,Neuwertig,Selbstabholung","Neuwertig","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-1459118447/",469,450,8793,"8793 Trofaiach",4,"Blau","2024-06-27 19:55:00",1719518100,0,"as good as new",0,0,8793,47.4220255,15.0222280553123,0,1,26,0,6.10924758276437,2.14285714285714,"Blau","as good as new"
