"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i"
"Woom 3","Salzburg","Zuletzt geändert:,28.05.2024, 15:38 Uhr","€ 400","","bis 35 cm,Grün,Neuwertig,Selbstabholung","Verkaufe ein Jahr altes Woom 3 Fahrrad, 16’ Zoll in Grün.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1788623275/",1347,400,NA,"Salzburg","3","Grün",2024-05-28 15:38:00,1716910680,0,"as good as new",0,1
"Frog Kinder / Jugend mountainbike","","Zuletzt geändert:,28.05.2024, 16:40 Uhr","€ 480","","Kettenschaltung,Scheibenbremse,26 Zoll,Schwarz,Gebraucht,Selbstabholung","Leichtes Kinder Mountainbike","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/frog-kinder-jugend-mountainbike-1768938154/",1348,480,NA,"",NA,"Andere",2024-05-28 16:40:00,1716914400,0,"used",0,1
"Woom 4off","Neusiedl am See, Burgenland","Zuletzt geändert:,16.06.2024, 15:47 Uhr","€ 640","","Kettenschaltung,Scheibenbremse,bis 35 cm,20 Zoll,Schwarz,Gebraucht,Selbstabholung","Verkaufe ca 1,5 Jahre altes Woom 4 offroad mit Federgabel nachgerüstet.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4off-1207045369/",1349,640,NA,"Neusiedl am See",NA,"Andere",2024-06-16 15:47:00,1718552820,0,"used",0,1
"Woom 3 Original","4048 Puchenau","Zuletzt geändert:,28.05.2024, 13:08 Uhr","€ 350","Privatperson","bis 16 Zoll,Gelb,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-original-1183109389/",1350,350,"4048","4048 Puchenau","3","Gelb",2024-05-28 13:08:00,1716901680,0,"used",0,0
"Woom 4","1010 Wien, 01. Bezirk, Innere Stadt","Zuletzt geändert:,28.05.2024, 14:17 Uhr","€ 420","Privatperson","Grün,Gebraucht,Selbstabholung, Versand","Im guten gebrauchten Zustand!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-907605646/",1351,420,"1010","1010 Wien","4","Grün",2024-05-28 14:17:00,1716905820,0,"used",1,0
"Woom 4","2232 Deutsch-Wagram","Zuletzt geändert:,28.05.2024, 14:26 Uhr","€ 420","Privatperson","Grün,Gebraucht,Selbstabholung","Woom 4","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-2125639071/",1352,420,"2232","2232 Deutsch-Wagram","4","Grün",2024-05-28 14:26:00,1716906360,0,"used",0,0
"Woom 6, 26 Zoll","Niederösterreich","Zuletzt geändert:,28.05.2024, 12:21 Uhr","€ 500","","Kettenschaltung,Felgenbremse,26 Zoll,Violett,Gebraucht,Selbstabholung","Sehr guter Zustand, mit Ständer, Klingel, Steckschutzbleche, alle Rückstrahler lt. StVO","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-26-zoll-1547328525/",1353,500,NA,"Niederösterreich","6","Violett",2024-05-28 12:21:00,1716898860,0,"used",0,1
"Einzigartiges Woom 3 Kinderfahrrad in Rot","","Zuletzt geändert:,28.05.2024, 11:29 Uhr","€ 290","","Felgenbremse,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Wir bieten hier ein wunderschönes, sorgfältig gepflegtes Woom 3 Kinderfahrrad in der begehrten Farbe Rot an. Dieses Rad ist ein echter Hingucker und wurde mit viel Liebe genutzt, ist jedoch aufgrund des Wachstums unseres Kindes nun leider zu klein geworden.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/einzigartiges-woom-3-kinderfahrrad-in-rot-1394284581/",1354,290,NA,"","3","Rot",2024-05-28 11:29:00,1716895740,0,"used",0,1
"woom 3 mit Original Ständer, Schutzblechen, goldener Klingel","Salzburg Stadt, Salzburg","Zuletzt geändert:,28.05.2024, 11:51 Uhr","€ 360","","bis 16 Zoll,Violett,Gebraucht,Selbstabholung","Gepflegtes woom 3 in purple haze (lila) mit original Zubehör: Klingel, Ständer, Schutzbleche","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-mit-original-staender-schutzblechen-goldener-klingel-1478281691/",1355,360,NA,"Salzburg Stadt","3","Violett",2024-05-28 11:51:00,1716897060,0,"used",0,1
"Woom 4 supra","Braunau am Inn, Oberösterreich","Zuletzt geändert:,15.06.2024, 22:45 Uhr","€ 390","","20 Zoll,Schwarz,Gebraucht,Selbstabholung, Versand","Auf der Suche nach dem perfekten Kinderfahrrad? Das Woom 4 Supra ist die Antwort!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-supra-2131085525/",1356,390,NA,"Braunau am Inn","4","Andere",2024-06-15 22:45:00,1718491500,0,"used",1,1
"CENTURION Mountainbike 20 Zoll","Eisenstadt - Umgebung, Burgenland","Zuletzt geändert:,28.05.2024, 11:03 Uhr","€ 199","","Kettenschaltung,Felgenbremse,bis 35 cm,20 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/centurion-mountainbike-20-zoll-1737203597/",1357,199,NA,"Eisenstadt - Umgebung",NA,"Rot",2024-05-28 11:03:00,1716894180,0,"used",0,1
"Puky LS Pro 18 silver/ berry","Krems Land, Niederösterreich","Zuletzt geändert:,22.06.2024, 11:59 Uhr","€ 180","","Silber,Gebraucht,Selbstabholung","Puky Kinderfahrrad LS-PRO 18 silver/berry; Alter: ab 4 Jahren, für eine Körpergröße von 100 bis 120cm, Sicherheitslenkergriffe, kindgerechte, rutschfeste Pedale mit drittem Reflektor, V-Brake (vorne und hinten), speziell entwickelter und leichter Kindersattel","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/puky-ls-pro-18-silver-berry-925238928/",1358,180,NA,"Krems Land",NA,"Andere",2024-06-22 11:59:00,1719057540,0,"used",0,1
"Woom1 - Kinderlaufrad","Tirol","Zuletzt geändert:,28.05.2024, 08:28 Uhr","€ 200","","Violett,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom1-kinderlaufrad-1750336396/",1359,200,NA,"Tirol",NA,"Violett",2024-05-28 08:28:00,1716884880,0,"as good as new",0,1
"Woom 3 grün, inkl. Seitenständer","Wiener Neustadt Land, Niederösterreich","Zuletzt geändert:,06.07.2024, 15:01 Uhr","€ 285","","Grün,Gebraucht,Selbstabholung","Verkaufen gebrauchtes grünes Woom 3.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gruen-inkl-seitenstaender-1221323657/",1360,285,NA,"Wiener Neustadt Land","3","Grün",2024-07-06 15:01:00,1720278060,1,"used",0,1
"Woom 3 gelb","Mödling, Niederösterreich","Zuletzt geändert:,09.06.2024, 20:54 Uhr","€ 290","","Gelb,Gebraucht,Selbstabholung","Verkaufe gut erhaltenes Woom 3 in gelb.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gelb-1384698537/",1361,290,NA,"Mödling","3","Gelb",2024-06-09 20:54:00,1717966440,0,"used",0,1
"Woom 3 1x rot 2x grün fahrrad","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,08.06.2024, 17:13 Uhr","€ 290","","Rot,Gebraucht,Selbstabholung, Versand","Das rote hat einen kleinen lackschaden, das grüne ist ein guter Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1x-rot-2x-gruen-fahrrad-1808033632/",1362,290,NA,"Bruck an der Leitha","3","Rot",2024-06-08 17:13:00,1717866780,0,"used",1,1
