title,location,last_modified,price,seller_info,details,description,item_url
Kania twenty small,3352 St. Peter in der Au,"Zuletzt geändert:,22.06.2024, 18:31 Uhr",€ 175,Privatperson,"Kettenschaltung,Felgenbremse,bis 35 cm,20 Zoll,Orange,Gebraucht,Selbstabholung, Versand",Kindermountainbike von Kania. Twenty small mit 24 cm Rahmenhöhe. Das perfekte Ostergeschenk. Funktioniert einwandfrei.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kania-twenty-small-1383823861/
Woom 3,6800 Feldkirch,"Zuletzt geändert:,06.06.2024, 19:48 Uhr",€ 350,Privatperson,"Felgenbremse,Violett,Gebraucht,Selbstabholung",Verkaufe ein Woom 3.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2129787122/
Puky 16 Zoll Kinderfahrrad neue Schwalbe Reifen,97828 Marktheidenfeld,"Zuletzt geändert:,06.06.2024, 17:21 Uhr",€ 25,Privatperson,"Felgenbremse,ab 61 cm,bis 16 Zoll,Mehrfarbig,Gebraucht,Selbstabholung, Versand","Hallo ihr Lieben ❀,",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/puky-16-zoll-kinderfahrrad-neue-schwalbe-reifen-977017285/
Woom 3 rot,,"Zuletzt geändert:,06.06.2024, 17:54 Uhr",€ 379,,"bis 16 Zoll,Rot,Neuwertig,Selbstabholung",Woom 3 rot,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-2053997552/
Woom 4 Kinderfahrrad,"Salzburg-Umgebung, Salzburg","Zuletzt geändert:,06.06.2024, 18:57 Uhr",€ 310,,"Kettenschaltung,20 Zoll,Grün,Gebraucht,Selbstabholung",Das Fahrrad wurde bereits gebraucht gekauft. Aktuell hat es 1 Kind gefahren.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-1942357364/
"Saracen Mantra 20""","Graz, Steiermark","Zuletzt geändert:,06.06.2024, 19:26 Uhr",€ 90,,"Kettenschaltung,Felgenbremse,bis 35 cm,20 Zoll,Blau,Gebraucht,Selbstabholung","Saracen Mantra 20"" ähnlich woom, kubike, islabike. Ca. 9kg, 8-fach Shimano altus Schaltung. Gebraucht aber gut in Schuß. NP: 430€",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/saracen-mantra-20-1589747581/
Woom 2,,"Zuletzt geändert:,10.06.2024, 13:44 Uhr",€ 350,,"Rot,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1554476328/
Kinderfahrrad Woom3,"Zell am See, Salzburg","Zuletzt geändert:,03.06.2024, 07:56 Uhr",€ 350,,"bis 16 Zoll,Rot,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom3-2042307734/
Woom 3,"Imst, Tirol","Zuletzt geändert:,02.06.2024, 20:30 Uhr",€ 330,,"Rot,Gebraucht,Selbstabholung, Versand","Von zwei Kindern befahren, normale Gebrauchsspuren hauptsächlich an den Griffen.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1521873555/
Woom 3 Gelb,,"Zuletzt geändert:,03.06.2024, 02:00 Uhr",€ 339,,"Gelb,Gebraucht,Selbstabholung","Woom 3 in Gelb, leichte Gebrauchsspuren, super in Schuss, wegen Umstieg auf woom 4 zu verkaufen!",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gelb-1085144512/
Woom gepäcksträger,"1030 Wien, 03. Bezirk, Landstraße","Zuletzt geändert:,03.06.2024, 07:27 Uhr",€ 30,Privatperson,"Schwarz,Neuwertig,Selbstabholung",Neuer gepäcksträger von woom,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-gepaeckstraeger-1289441746/
Early Rider,3620 Schwallenbach,"Zuletzt geändert:,03.06.2024, 07:35 Uhr",€ 330,,"Felgenbremse,bis 16 Zoll,Silber,Gebraucht,Selbstabholung, Versand","EARLY RIDER SEEKER 16"" KINDERFAHRRAD",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/early-rider-852662468/
Kinderfahrrad,,"Zuletzt geändert:,30.05.2024, 12:47 Uhr",€ 30,,"Kettenschaltung,Scheibenbremse,bis 35 cm,Blau,Gebraucht,Selbstabholung",Zu Verkauf kommt ein Kinderfahrrad in gebrauchten Zustand.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-1370976446/
Woom 3,Niederösterreich,"Zuletzt geändert:,30.05.2024, 09:46 Uhr",€ 270,,"Felgenbremse,bis 16 Zoll,Blau,Gebraucht,Selbstabholung",Woom 3 mit Gepäckträger und Reflektoren.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1069547284/
Woom 3,Schweiz,"Zuletzt geändert:,09.06.2024, 07:45 Uhr",€ 259,,"Grün,Gebraucht,Selbstabholung",Bei Fragen gerne melden,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1892503243/
